Data,Hora_Inicio,Atividade
2025-06-20,00:00,Sono
2025-06-20,00:30,Sono
2025-06-20,01:00,Sono
2025-06-20,01:30,Sono
2025-06-20,02:00,Sono
2025-06-20,02:30,Sono
2025-06-20,03:00,Sono
2025-06-20,03:30,Sono
2025-06-20,04:00,Sono
2025-06-20,04:30,Sono
2025-06-20,05:00,Sono
2025-06-20,05:30,Outros
2025-06-20,06:00,Alimentação
2025-06-20,06:30,Lazer
2025-06-20,07:00,Lazer
2025-06-20,07:30,Lazer
2025-06-20,08:00,Lazer
2025-06-20,08:30,Lazer
2025-06-20,09:00,Lazer
2025-06-20,09:30,Estudo
2025-06-20,10:00,Estudo
2025-06-20,10:30,Estudo
2025-06-20,11:00,Estudo
2025-06-20,11:30,Alimentação
2025-06-20,12:00,Lazer
2025-06-20,12:30,Estudo
2025-06-20,13:00,Estudo
2025-06-20,13:30,Estudo
2025-06-20,14:00,Estudo
2025-06-20,14:30,Estudo
2025-06-20,15:00,Estudo
2025-06-20,15:30,Estudo
2025-06-20,16:00,Tarefas domésticas
2025-06-20,16:30,Tarefas domésticas
2025-06-20,17:00,Tarefas domésticas
2025-06-20,17:30,Tarefas domésticas
2025-06-20,18:00,Alimentação
2025-06-20,18:30,Lazer
2025-06-20,19:00,Lazer
2025-06-20,19:30,Lazer
2025-06-20,20:00,Estudo
2025-06-20,20:30,Estudo
2025-06-20,21:00,Redes sociais
2025-06-20,21:30,Outros
2025-06-20,22:00,Sono
2025-06-20,22:30,Sono
2025-06-20,23:00,Sono
2025-06-20,23:30,Sono
2025-06-21,00:00,Sono
2025-06-21,00:30,Sono
2025-06-21,01:00,Sono
2025-06-21,01:30,Sono
2025-06-21,02:00,Sono
2025-06-21,02:30,Sono
2025-06-21,03:00,Sono
2025-06-21,03:30,Sono
2025-06-21,04:00,Sono
2025-06-21,04:30,Sono
2025-06-21,05:00,Sono
2025-06-21,05:30,Outros
2025-06-21,06:00,Alimentação
2025-06-21,06:30,Lazer
2025-06-21,07:00,Lazer
2025-06-21,07:30,Lazer
2025-06-21,08:00,Lazer
2025-06-21,08:30,Estudo
2025-06-21,09:00,Estudo
2025-06-21,09:30,Estudo
2025-06-21,10:00,Estudo
2025-06-21,10:30,Estudo
2025-06-21,11:00,Estudo
2025-06-21,11:30,Alimentação
2025-06-21,12:00,Lazer
2025-06-21,12:30,Estudo
2025-06-21,13:00,Estudo
2025-06-21,13:30,Estudo
2025-06-21,14:00,Estudo
2025-06-21,14:30,Estudo
2025-06-21,15:00,Estudo
2025-06-21,15:30,Estudo
2025-06-21,16:00,Tarefas domésticas
2025-06-21,16:30,Tarefas domésticas
2025-06-21,17:00,Tarefas domésticas
2025-06-21,17:30,Tarefas domésticas
2025-06-21,18:00,Alimentação
2025-06-21,18:30,Lazer
2025-06-21,19:00,Lazer
2025-06-21,19:30,Redes sociais
2025-06-21,20:00,Redes sociais
2025-06-21,20:30,Redes sociais
2025-06-21,21:00,Redes sociais
2025-06-21,21:30,Outros
2025-06-21,22:00,Sono
2025-06-21,22:30,Sono
2025-06-21,23:00,Sono
2025-06-21,23:30,Sono
